gene,cell_type,source,category,other_categories?
C1S,Myofibroblasts,Panglao,myofibroblast,fibroblast
CALD1,Myofibroblasts,Panglao,myofibroblast,muscle
CCDC80,Myofibroblasts,Panglao,myofibroblast,fibroblast
CDH11,Myofibroblasts,Panglao,myofibroblast,fibroblast
CNN1,Myofibroblasts,Panglao,myofibroblast,unique
COL12A1,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
COL14A1,Myofibroblasts,Panglao,myofibroblast,fibroblast
COL16A1,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
COL1A1,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
COL1A2,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
COL3A1,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
COL4A1,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
COL4A2,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
COL5A1,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
COL5A2,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
COL6A1,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
COL6A3,Myofibroblasts,Panglao,myofibroblast,fibroblast
CRYAB,Myofibroblasts,Panglao,myofibroblast,muscle
CXCL12,Myofibroblasts,Panglao,myofibroblast,fibroblast
DAAM2,Myofibroblasts,Panglao,myofibroblast,unique
DCN,Myofibroblasts,Panglao,myofibroblast,fibroblast
DDR2,Myofibroblasts,Panglao,myofibroblast,fibroblast
DES,Myofibroblasts,Panglao,myofibroblast,muscle
DKK3,Myofibroblasts,Panglao,myofibroblast,fibroblast
EDNRA,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
EFEMP2,Myofibroblasts,Panglao,myofibroblast,fibroblast
ELN,Myofibroblasts,Panglao,myofibroblast,fibroblast
FAP,Myofibroblasts,Panglao,myofibroblast,fibroblast
FBN1,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
FBXL7,Myofibroblasts,Panglao,myofibroblast,muscle
FIBIN,Myofibroblasts,Panglao,myofibroblast,fibroblast
FLNC,Myofibroblasts,Panglao,myofibroblast,muscle
FMOD,Myofibroblasts,Panglao,myofibroblast,fibroblast
FN1,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
FSTL1,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
GFAP,Myofibroblasts,Panglao,myofibroblast,unique
GJA1,Myofibroblasts,Panglao,myofibroblast,unique
HSPB2,Myofibroblasts,Panglao,myofibroblast,muscle
HSPB6,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
HTRA1,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
IGFBP5,Myofibroblasts,Panglao,myofibroblast,muscle
ISLR,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
LAMA2,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
LAMA4,Myofibroblasts,Panglao,myofibroblast,fibroblast
LAMB2,Myofibroblasts,Panglao,myofibroblast,muscle
LDB2,Myofibroblasts,Panglao,myofibroblast,unique
LMOD1,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
LRP1,Myofibroblasts,Panglao,myofibroblast,unique
LUM,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
MEDAG,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
MFAP4,Myofibroblasts,Panglao,myofibroblast,fibroblast
MMP2,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
MRGPRF,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
MXRA5,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
MYL9,Myofibroblasts,Panglao,myofibroblast,fibroblast
MYLK,Myofibroblasts,Panglao,myofibroblast,unique
MYOCD,Myofibroblasts,Panglao,myofibroblast,unique
NTM,Myofibroblasts,Panglao,myofibroblast,unique
OLFML3,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
PALLD,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
PAMR1,Myofibroblasts,Panglao,myofibroblast,fibroblast
PARVA,Myofibroblasts,Panglao,myofibroblast,muscle
PCDH18,Myofibroblasts,Panglao,myofibroblast,fibroblast
PDGFRA,Myofibroblasts,Panglao,myofibroblast,fibroblast
PDGFRB,Myofibroblasts,Panglao,myofibroblast,fibroblast
PHLDB1,Myofibroblasts,Panglao,myofibroblast,muscle
PLPP3,Myofibroblasts,Panglao,myofibroblast,fibroblast
PLSCR4,Myofibroblasts,Panglao,myofibroblast,fibroblast
PODN,Myofibroblasts,Panglao,myofibroblast,fibroblast
POSTN,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
PPP1R3C,Myofibroblasts,Panglao,myofibroblast,muscle
PRKG1,Myofibroblasts,Panglao,myofibroblast,muscle
PRRX1,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
PTN,Myofibroblasts,Panglao,myofibroblast,unique
RASL12,Myofibroblasts,Panglao,myofibroblast,muscle
SLIT3,Myofibroblasts,Panglao,myofibroblast,fibroblast
SOD3,Myofibroblasts,Panglao,myofibroblast,fibroblast
SPARC,Myofibroblasts,Panglao,myofibroblast,fibroblast
SULF1,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
SVEP1,Myofibroblasts,Panglao,myofibroblast,fibroblast
TAGLN,Myofibroblasts,Panglao,myofibroblast,fibroblast
TEK,Myofibroblasts,Panglao,myofibroblast,fibroblast
THBS2,Myofibroblasts,Panglao,myofibroblast,fibroblast
THY1,Myofibroblasts,Panglao,myofibroblast,fibroblast
TIMP3,Myofibroblasts,Panglao,myofibroblast,"fibroblast, muscle"
TMEM47,Myofibroblasts,Panglao,myofibroblast,muscle
TNS1,Myofibroblasts,Panglao,myofibroblast,fibroblast
TNS2,Myofibroblasts,Panglao,myofibroblast,muscle
TPM1,Myofibroblasts,Panglao,myofibroblast,muscle
TPM2,Myofibroblasts,Panglao,myofibroblast,muscle
