Threshold,TF network,TF gene_id,Nodes,Edges,Avg degree,Graph density,is_connected,n_conn_components,largest_conn_component
200,full,,19678,3776937,383.8740725683504,0.019508770268249754,False,11,19668
300,full,,19678,1744933,177.34861266388862,0.009012990428616589,False,53,19626
400,full,,19678,979779,99.58115662160789,0.005060789582843314,False,130,19548
500,full,,19678,630032,64.03414981197277,0.0032542638518052937,False,321,19349
600,full,,19678,423725,43.065860351661755,0.0021886395462551076,False,1108,18542
700,full,,19678,302615,30.756682589694076,0.0015630778365449038,False,2199,17423
800,full,,19678,228647,23.238845411119016,0.0011810156736859793,False,3157,16450
900,full,,19678,168303,17.10570179896331,0.0008693246835881135,False,4240,15353
999,full,,19678,75251,7.6482366094115255,0.00038868916041121746,False,8192,11438
