group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,reference_group,direction
siPRRX1/mmMYOD1_med_G1S,PRDM2,2.7450824,0.4558934,0.006049571763653216,0.022072548174397855,0.29572446555819476,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,GK,2.7442124,0.9017634,0.006065626769622673,0.022127913685696648,0.1342042755344418,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,SPOP,2.744019,0.41605914,0.0060691997568474145,0.02213773428510115,0.4916864608076009,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000290731,2.743163,1.8517092,0.006085045785663679,0.022192312119326114,0.0831353919239905,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,CCDC57,2.7419617,0.3880397,0.006107344177596537,0.022269043382588987,0.24703087885985747,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000233223,2.7419343,0.5814477,0.006107857648551549,0.022269043382588987,0.18527315914489312,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,RNF146,2.7414234,0.47188047,0.006117363877086141,0.022299106623838178,0.24465558194774348,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000286652,2.7413957,3.6424155,0.0061178781066833976,0.022299106623838178,0.0665083135391924,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ATP5F1B,2.740871,0.15209313,0.006127655868817789,0.022331506406331168,0.7577197149643705,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000286787,2.740222,1.2145842,0.006139768884017841,0.022372406107540647,0.1021377672209026,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000269826,2.7391865,7.738387,0.006159142828842668,0.02243974786184697,0.060570071258907364,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,PCDHGB1,2.7385375,4.265337,0.00617131187623866,0.022480824126721522,0.06294536817102138,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,INHBA-AS1,2.7382476,4.2322564,0.0061767561046955155,0.022497394897635734,0.06413301662707839,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,JRK,2.7378194,1.0654724,0.006184800727204229,0.02252343082220114,0.1163895486935867,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,PGP,2.735707,1.2730358,0.006224643182315624,0.02266057646231587,0.10451306413301663,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ZNF490,2.7356794,0.9157161,0.006225165525285198,0.02266057646231587,0.13539192399049882,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,CCNH,2.734837,0.41389158,0.006241115954952521,0.022712058177559294,0.2826603325415677,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,HPSE2,2.7343814,2.3564231,0.006249760203470538,0.022740222182566994,0.07482185273159145,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,NDUFA10,2.7322137,0.2632513,0.006291033670126597,0.022883771578306473,0.4489311163895487,Control_G1S,up
