group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,reference_group,direction
mmMYOD1_high_G1S,FARSA,3.7040727,1.0425556,0.00021216536222160812,0.000956919808952069,0.23157894736842105,Control_G1S,up
mmMYOD1_high_G1S,CDR2,3.704041,0.95595545,0.00021219186467211592,0.000956919808952069,0.26766917293233083,Control_G1S,up
mmMYOD1_high_G1S,ICE1,3.702046,0.99749017,0.0002138678006299961,0.0009643047002028606,0.23759398496240602,Control_G1S,up
mmMYOD1_high_G1S,ARMCX4,3.7013335,1.2048149,0.00021446935566593665,0.000966843553852468,0.21654135338345865,Control_G1S,up
mmMYOD1_high_G1S,CRK,3.7006369,0.6374016,0.00021505907878306466,0.0009693281671140536,0.35789473684210527,Control_G1S,up
mmMYOD1_high_G1S,MTRF1L,3.7002726,0.9042718,0.00021536794879241426,0.0009705462369540504,0.2721804511278195,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000288939,3.6995919,6.013122,0.00021594651904917022,0.0009729790444087411,0.09172932330827067,Control_G1S,up
mmMYOD1_high_G1S,CGRRF1,3.6993227,0.9320788,0.00021617565841677467,0.0009738368491747425,0.26165413533834586,Control_G1S,up
mmMYOD1_high_G1S,SLC38A9,3.697375,1.1995149,0.00021784036326364054,0.0009811601806934502,0.20902255639097744,Control_G1S,up
mmMYOD1_high_G1S,NEK5,3.69671,1.9924861,0.0002184115503816289,0.000983089307065809,0.13383458646616542,Control_G1S,up
mmMYOD1_high_G1S,EHHADH,3.6965358,2.1094077,0.00021856137920537233,0.0009835262064241755,0.13082706766917293,Control_G1S,up
mmMYOD1_high_G1S,PRELID3B,3.6956491,0.65437466,0.0002193256414235724,0.000986788669237516,0.34285714285714286,Control_G1S,up
mmMYOD1_high_G1S,PCM1,3.695095,0.24904762,0.00021980457868288146,0.0009887664613575807,0.6135338345864662,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000287733,3.6946359,1.8508275,0.00022020215605774736,0.0009903776225915653,0.1548872180451128,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000289331,3.6942716,5.3800592,0.00022051795600147703,0.0009916204721555323,0.09323308270676692,Control_G1S,up
mmMYOD1_high_G1S,ITGA2-AS1,3.6937175,3.5315702,0.00022099933705733434,0.000993607325384988,0.10225563909774436,Control_G1S,up
mmMYOD1_high_G1S,TNPO2,3.6930366,0.8474141,0.00022159209861472956,0.0009960941420377324,0.281203007518797,Control_G1S,up
mmMYOD1_high_G1S,MECR,3.6926408,2.20042,0.00022193741323627868,0.0009974679520302649,0.1293233082706767,Control_G1S,up
mmMYOD1_high_G1S,PODXL,3.6908674,3.318184,0.0002234906329344543,0.0010040895090965435,0.10676691729323308,Control_G1S,up
mmMYOD1_high_G1S,LNC-LBCS,3.6907883,2.8130348,0.00022356021047500205,0.0010042225543110208,0.11278195488721804,Control_G1S,up
mmMYOD1_high_G1S,ZNF578,3.69044,2.3549528,0.00022386659328609557,0.0010054190806243091,0.12330827067669173,Control_G1S,up
mmMYOD1_high_G1S,NAT10,3.6898065,1.030114,0.0002244246630002477,0.001007565290668255,0.24511278195488723,Control_G1S,up
mmMYOD1_high_G1S,RHOG,3.6892998,0.80695724,0.00022487205874086345,0.0010093935498464482,0.2857142857142857,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000228541,3.6886349,5.7753696,0.00022546053624059782,0.0010118543230315667,0.09172932330827067,Control_G1S,up
mmMYOD1_high_G1S,SEPSECS-AS1,3.6870198,1.4755206,0.0002268957196241469,0.0010177500254758237,0.17593984962406015,Control_G1S,up
mmMYOD1_high_G1S,NBN,3.6855788,0.42071217,0.00022818336173885346,0.0010233431222155826,0.48872180451127817,Control_G1S,up
mmMYOD1_high_G1S,POLR2M,3.6823487,0.79457223,0.00023109490754782798,0.001035476611423292,0.2932330827067669,Control_G1S,up
mmMYOD1_high_G1S,JMJD6,3.6812246,1.3661329,0.00023211639246744712,0.0010398681957429151,0.18646616541353384,Control_G1S,up
mmMYOD1_high_G1S,PSCA,3.6794987,3.8705866,0.00023369283689408883,0.0010467439581951273,0.09924812030075188,Control_G1S,up
mmMYOD1_high_G1S,KPNA7,3.677472,6.936881,0.0002355569001030902,0.0010547173531344353,0.09022556390977443,Control_G1S,up
mmMYOD1_high_G1S,GASK1B-AS1,3.6761894,3.6094613,0.00023674370102868845,0.0010598424584801146,0.10225563909774436,Control_G1S,up
mmMYOD1_high_G1S,ZNF787,3.6751919,1.9818214,0.0002376706448428166,0.0010636131725040598,0.14135338345864662,Control_G1S,up
mmMYOD1_high_G1S,TTPAL,3.675081,1.277072,0.00023777384854346777,0.0010636961485134874,0.20300751879699247,Control_G1S,up
mmMYOD1_high_G1S,FAM117B,3.6739094,2.6596644,0.00023886743391060862,0.001068398162923776,0.11278195488721804,Control_G1S,up
mmMYOD1_high_G1S,CLDN14-AS1,3.6734185,4.305326,0.00023932695856224644,0.001070072564902514,0.0962406015037594,Control_G1S,up
mmMYOD1_high_G1S,LDLRAD3,3.6727693,2.098058,0.0002399359909383085,0.0010724140128598035,0.13834586466165413,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000255557,3.6723893,1.9746431,0.00024029317209005522,0.0010738194608356584,0.13834586466165413,Control_G1S,up
mmMYOD1_high_G1S,KIF13B,3.6719778,2.917357,0.00024068068125215439,0.001075359914385515,0.10977443609022557,Control_G1S,up
mmMYOD1_high_G1S,C12orf4,3.6688585,1.1141895,0.00024363591552068698,0.0010881769081414543,0.21654135338345865,Control_G1S,up
mmMYOD1_high_G1S,TRMT1,3.6672752,1.4504031,0.00024514902708940055,0.0010947404927496814,0.17293233082706766,Control_G1S,up
mmMYOD1_high_G1S,PPM1B,3.6649,1.2167019,0.00024743523122541897,0.0011045572020309696,0.20601503759398496,Control_G1S,up
mmMYOD1_high_G1S,ELMOD3,3.6639183,1.5164727,0.00024838602432934406,0.0011086046215537757,0.162406015037594,Control_G1S,up
mmMYOD1_high_G1S,CDC14B,3.6637917,1.1064523,0.0002485089566228079,0.0011089563242795094,0.23458646616541354,Control_G1S,up
mmMYOD1_high_G1S,ELAC1,3.6637282,1.5155618,0.0002485704441674818,0.0011090337572870175,0.16691729323308271,Control_G1S,up
mmMYOD1_high_G1S,SLFN12,3.6584082,0.52289027,0.0002537866435203538,0.0011313022491359678,0.40601503759398494,Control_G1S,up
mmMYOD1_high_G1S,RAB11FIP5,3.6560647,1.3762273,0.0002561166694568756,0.0011412838570867832,0.1774436090225564,Control_G1S,up
mmMYOD1_high_G1S,LSM10,3.6553047,0.5846321,0.0002568766513782278,0.0011444674638000191,0.3804511278195489,Control_G1S,up
mmMYOD1_high_G1S,SLC28A3,3.6548772,5.0707803,0.00025730506997318197,0.0011461112898728562,0.09323308270676692,Control_G1S,up
mmMYOD1_high_G1S,ALKBH1,3.6548455,2.1675413,0.0002573368313221368,0.0011461112898728562,0.12781954887218044,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000237188,3.654798,1.3237286,0.0002573844802386987,0.0011461203649544606,0.18796992481203006,Control_G1S,up
mmMYOD1_high_G1S,KATNBL1,3.652708,0.5421441,0.000259489241659067,0.0011552880340908993,0.42406015037593986,Control_G1S,up
mmMYOD1_high_G1S,MEIS2,3.651948,0.318083,0.0002602586026309479,0.0011585080897981326,0.606015037593985,Control_G1S,up
mmMYOD1_high_G1S,H3-7,3.6519005,2.909023,0.00026030675863532966,0.0011585172212165362,0.11278195488721804,Control_G1S,up
mmMYOD1_high_G1S,DOCK4,3.6509664,4.2237873,0.00026125552620720184,0.0011625338874684907,0.0962406015037594,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000287534,3.647562,6.31451,0.0002647404043827131,0.0011769987405040366,0.09022556390977443,Control_G1S,up
mmMYOD1_high_G1S,LINC01091,3.6465805,6.270015,0.0002657534126008326,0.0011812934285925566,0.09022556390977443,Control_G1S,up
mmMYOD1_high_G1S,RIPOR3,3.6451237,1.4455988,0.0002672632846166956,0.0011877948029445221,0.16090225563909774,Control_G1S,up
mmMYOD1_high_G1S,ZNF704,3.6444585,8.326766,0.00026795524419032926,0.0011906594829380359,0.0887218045112782,Control_G1S,up
mmMYOD1_high_G1S,KPNA5,3.644332,1.251394,0.0002680872362716412,0.001190824831718897,0.19849624060150375,Control_G1S,up
mmMYOD1_high_G1S,AFG1L,3.6441262,1.5855701,0.0002683018534002679,0.0011915675101169905,0.16842105263157894,Control_G1S,up
mmMYOD1_high_G1S,BCLAF3,3.6423368,1.6097279,0.0002701741675184658,0.0011994587422975282,0.1593984962406015,Control_G1S,up
mmMYOD1_high_G1S,SNHG20,3.6413867,2.5155377,0.0002711732875441486,0.001203681746936825,0.11729323308270677,Control_G1S,up
mmMYOD1_high_G1S,MRNIP,3.6402786,2.3027506,0.0002723433043826907,0.0012086617012589636,0.13383458646616542,Control_G1S,up
mmMYOD1_high_G1S,RELN,3.6362567,4.9647417,0.00027662864692336043,0.001227463295053894,0.09323308270676692,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000289206,3.6358292,5.812077,0.0002770878725221803,0.0012292839090284862,0.09022556390977443,Control_G1S,up
mmMYOD1_high_G1S,CBR4,3.63461,0.9191065,0.00027840144295262234,0.0012346755133274786,0.27518796992481204,Control_G1S,up
mmMYOD1_high_G1S,SMIM12,3.634309,0.84367114,0.0002787264671487112,0.00123589882945347,0.27669172932330827,Control_G1S,up
mmMYOD1_high_G1S,RAD23A,3.6340716,0.27222455,0.00027898331633778573,0.0012368194729950389,0.5774436090225564,Control_G1S,up
mmMYOD1_high_G1S,RBM41,3.633391,0.8953676,0.00027972084714580724,0.0012396517543350695,0.26165413533834586,Control_G1S,up
mmMYOD1_high_G1S,CCDC43,3.631174,0.53637254,0.0002821347879806408,0.001249688516195583,0.39097744360902253,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000287710,3.6306674,3.223738,0.00028268927986629337,0.00125170329946788,0.10526315789473684,Control_G1S,up
mmMYOD1_high_G1S,LYSET,3.6265981,1.3665317,0.00028717971763588256,0.0012711382675276478,0.18646616541353384,Control_G1S,up
