group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,abs_lfc,gene_type,is_tf,direction,reference,DE_rank
mmMYOD1,MSANTD3,28.993637,2.0207431,7.914667915931469e-185,3.993251928829198e-183,0.614190687361419,2.0207431,protein_coding,True,up,Control,37
mmMYOD1,NFKB2,13.567077,2.0015767,6.277628700385054e-42,7.255367926673177e-41,0.29800443458980047,2.0015767,protein_coding,True,up,Control,38
mmMYOD1,MYC,19.86979,1.9647214,7.43145178042436e-88,1.6627128890021594e-86,0.45764966740576496,1.9647214,protein_coding,True,up,Control,39
mmMYOD1,ZNF107,13.015803,1.905327,9.949013155790005e-39,1.0925651422743868e-37,0.2780487804878049,1.905327,protein_coding,True,up,Control,40
mmMYOD1,MEIS1,19.247667,1.8523153,1.476631879641324e-82,3.1047575404073567e-81,0.42261640798226163,1.8523153,protein_coding,True,up,Control,41
mmMYOD1,AKAP8L,18.73552,1.8494891,2.5415232480596136e-78,5.056081799742348e-77,0.4031042128603104,1.8494891,protein_coding,True,up,Control,42
mmMYOD1,TET2,13.796188,1.8435926,2.686870984108255e-43,3.1784519937242944e-42,0.30509977827051,1.8435926,protein_coding,True,up,Control,43
mmMYOD1,MTF2,21.599907,1.8153552,1.7997813641714264e-103,4.730262192068123e-102,0.46696230598669625,1.8153552,protein_coding,True,up,Control,44
mmMYOD1,SETDB2,14.766318,1.7770612,2.4155180226632968e-49,3.139798543064563e-48,0.3343680709534368,1.7770612,protein_coding,True,up,Control,45
mmMYOD1,MGA,14.645285,1.775986,1.4439554305039486e-48,1.8557966315520314e-47,0.32993348115299337,1.775986,protein_coding,True,up,Control,46
mmMYOD1,NFATC3,15.053259,1.7428766,3.2863659812081505e-51,4.403905687671253e-50,0.33791574279379155,1.7428766,protein_coding,True,up,Control,47
mmMYOD1,FOXN2,19.529957,1.7271084,6.109182125459923e-85,1.3255553547867534e-83,0.43946784922394677,1.7271084,protein_coding,True,up,Control,48
mmMYOD1,NCOA1,18.14864,1.7258942,1.3161869832794776e-73,2.492126159900539e-72,0.41818181818181815,1.7258942,protein_coding,True,up,Control,49
mmMYOD1,ZNF804A,11.254993,1.7170413,2.1884154892900107e-29,1.9821963800973614e-28,0.27184035476718404,1.7170413,protein_coding,True,up,Control,50
mmMYOD1,FOSL1,34.21879,1.7064695,1.2708076871313587e-256,1.050339274567846e-254,0.7680709534368071,1.7064695,protein_coding,True,up,Control,51
mmMYOD1,HMGA2,38.60302,1.6976599,0.0,0.0,0.8634146341463415,1.6976599,protein_coding,True,up,Control,52
mmMYOD1,ZNF609,24.606445,1.6930524,1.0776424771416258e-133,3.750255523637187e-132,0.5592017738359202,1.6930524,protein_coding,True,up,Control,53
mmMYOD1,RFX7,20.801222,1.6557708,4.219290505581741e-96,1.0252794317528707e-94,0.4904656319290466,1.6557708,protein_coding,True,up,Control,54
mmMYOD1,TRPS1,22.979874,1.6520458,7.410211791252202e-117,2.203419899017785e-115,0.5631929046563193,1.6520458,protein_coding,True,up,Control,55
mmMYOD1,DMTF1,16.32981,1.6498593,6.057343686450496e-60,9.377499535782818e-59,0.38181818181818183,1.6498593,protein_coding,True,up,Control,56
mmMYOD1,NFIX,-32.88729,-1.6458209,3.339904894210311e-237,2.4609516238102134e-235,0.33303769401330374,1.6458209,protein_coding,True,down,Control,57
mmMYOD1,PRDM1,13.63542,1.6418543,2.4656636612297295e-42,2.8681604237063975e-41,0.34279379157427936,1.6418543,protein_coding,True,up,Control,58
mmMYOD1,FOXO3,21.572031,1.6236813,3.289262402916934e-103,8.617936093398423e-102,0.517960088691796,1.6236813,protein_coding,True,up,Control,59
mmMYOD1,JUN,25.946045,1.6194965,2.015082638805025e-148,7.741737978993128e-147,0.7011086474501108,1.6194965,protein_coding,True,up,Control,60
mmMYOD1,BACH1,31.330782,1.6054678,1.7779126041209897e-215,1.1309324580036453e-213,0.7356984478935699,1.6054678,protein_coding,True,up,Control,61
mmMYOD1,ZNF714,12.478606,1.6003345,9.76820549401676e-36,1.0158771988520907e-34,0.3055432372505543,1.6003345,protein_coding,True,up,Control,62
mmMYOD1,RREB1,16.629448,1.5886103,4.26499459345992e-62,6.816937287231169e-61,0.4031042128603104,1.5886103,protein_coding,True,up,Control,63
mmMYOD1,KLF10,21.929169,1.5807171,1.3690333801615025e-106,3.690808230680034e-105,0.5778270509977828,1.5807171,protein_coding,True,up,Control,64
mmMYOD1,BAZ2B,26.299026,1.5731093,1.9674916683903777e-152,7.884401221686862e-151,0.6266075388026607,1.5731093,protein_coding,True,up,Control,65
mmMYOD1,RLF,12.834634,1.5695628,1.0489831088747812e-37,1.1282855134241332e-36,0.3263858093126386,1.5695628,protein_coding,True,up,Control,66
mmMYOD1,ZNF431,11.2976,1.5487484,1.3485284651642573e-29,1.2285397467627675e-28,0.293569844789357,1.5487484,protein_coding,True,up,Control,67
mmMYOD1,AEBP2,13.574674,1.5446857,5.659503988110816e-42,6.546993425657108e-41,0.3738359201773836,1.5446857,protein_coding,True,up,Control,68
mmMYOD1,KLF12,21.584854,1.5322611,2.4927250960531584e-103,6.537809056725643e-102,0.5365853658536586,1.5322611,protein_coding,True,up,Control,69
mmMYOD1,MYSM1,16.249321,1.5250854,2.2584898528023395e-59,3.4517528005785634e-58,0.40709534368070954,1.5250854,protein_coding,True,up,Control,70
mmMYOD1,REL,11.48929,1.5243345,1.49334087359619e-30,1.3896919551843656e-29,0.31352549889135256,1.5243345,protein_coding,True,up,Control,71
mmMYOD1,ZBTB21,11.775217,1.5163287,5.238220366010682e-32,5.038879208131102e-31,0.3095343680709534,1.5163287,protein_coding,True,up,Control,72
mmMYOD1,RUNX2,10.214103,1.4932101,1.7145835477680933e-24,1.38034688308943e-23,0.27583148558758314,1.4932101,protein_coding,True,up,Control,73
mmMYOD1,PBX1,-29.27299,-1.4716911,2.2897463760136484e-188,1.1985868217441444e-186,0.3614190687361419,1.4716911,protein_coding,True,down,Control,74
mmMYOD1,POU2F1,10.236583,1.4695997,1.3595402500423138e-24,1.0990929318714022e-23,0.2736141906873614,1.4695997,protein_coding,True,up,Control,75
mmMYOD1,ZNF791,13.733516,1.4687155,6.395350861453877e-43,7.505351973138258e-42,0.35432372505543236,1.4687155,protein_coding,True,up,Control,76
mmMYOD1,ZNF721,17.891088,1.4674755,1.383780979515509e-71,2.5471707612678887e-70,0.45942350332594234,1.4674755,protein_coding,True,up,Control,77
mmMYOD1,ZFY,9.523046,1.4507407,1.6817669624582995e-21,1.2355577982083986e-20,0.25099778270509976,1.4507407,protein_coding,True,up,Control,78
mmMYOD1,ZNF195,9.841862,1.4421965,7.432246910641646e-23,5.700324660463431e-22,0.2572062084257206,1.4421965,protein_coding,True,up,Control,79
mmMYOD1,NCOA2,18.543861,1.4334927,9.141675937261801e-77,1.79168291419376e-75,0.4771618625277162,1.4334927,protein_coding,True,up,Control,80
mmMYOD1,IRF7,23.625563,1.4246206,2.1052942682003628e-123,6.662169242166538e-122,0.61019955654102,1.4246206,protein_coding,True,up,Control,81
mmMYOD1,ETV6,11.309629,1.4137548,1.1758529513008178e-29,1.0727843592732152e-28,0.2984478935698448,1.4137548,protein_coding,True,up,Control,82
mmMYOD1,GPBP1L1,16.689428,1.4029132,1.564598513075718e-62,2.510351356292496e-61,0.43680709534368073,1.4029132,protein_coding,True,up,Control,83
mmMYOD1,GTF2B,16.41512,1.4020858,1.490896510702308e-60,2.3281706480985827e-59,0.43680709534368073,1.4020858,protein_coding,True,up,Control,84
mmMYOD1,GATAD2A,14.647289,1.3940289,1.401982056128501e-48,1.80277385579758e-47,0.3875831485587583,1.3940289,protein_coding,True,up,Control,85
mmMYOD1,LCOR,17.229544,1.3839741,1.5940123700720514e-66,2.7376045666732988e-65,0.4563192904656319,1.3839741,protein_coding,True,up,Control,86
mmMYOD1,RFX3,9.520142,1.3712268,1.7294349665138895e-21,1.269464883687642e-20,0.26740576496674057,1.3712268,protein_coding,True,up,Control,87
mmMYOD1,ASH1L,30.87881,1.367791,2.299982777224786e-209,1.3958784362451686e-207,0.7720620842572062,1.367791,protein_coding,True,up,Control,88
mmMYOD1,IRF9,25.919886,1.3646379,3.9751211011940035e-148,1.5248685921923744e-146,0.6687361419068736,1.3646379,protein_coding,True,up,Control,89
mmMYOD1,EPAS1,-30.103302,-1.3624038,4.386362075175808e-199,2.4878495146922654e-197,0.42483370288248334,1.3624038,protein_coding,True,down,Control,90
mmMYOD1,HDX,12.6261015,1.3512561,1.516042885914179e-36,1.597152769454074e-35,0.3552106430155211,1.3512561,protein_coding,True,up,Control,91
mmMYOD1,MITF,9.054053,1.3510594,1.377569354560087e-19,9.582726357330217e-19,0.2678492239467849,1.3510594,protein_coding,True,up,Control,92
mmMYOD1,TERF2,9.486715,1.3396009,2.384293595807114e-21,1.745055662343418e-20,0.26696230598669624,1.3396009,protein_coding,True,up,Control,93
mmMYOD1,ETV3,8.997519,1.3351446,2.3087596152998763e-19,1.5919290366088004e-18,0.25809312638580933,1.3351446,protein_coding,True,up,Control,94
mmMYOD1,ZNF131,25.542177,1.327317,6.707324010373586e-144,2.52666001626157e-142,0.6643015521064302,1.327317,protein_coding,True,up,Control,95
mmMYOD1,NCOA3,21.132364,1.3210723,4.009549383582133e-99,1.0014307933586946e-97,0.5671840354767184,1.3210723,protein_coding,True,up,Control,96
mmMYOD1,NME2,-49.06038,-1.3032691,0.0,0.0,0.9019955654101995,1.3032691,protein_coding,True,down,Control,97
mmMYOD1,HIVEP1,11.505819,1.2987893,1.2331211577901677e-30,1.150516235077451e-29,0.3419068736141907,1.2987893,protein_coding,True,up,Control,98
